,,OCD,HC,t,p
Lucifer,,,,,
,Success rate all (%),74.08,79.25,-1.76,0.084
,Success rate messy (%),77.22,79.01,-0.44,0.661
,Success rate special (%),66.67,59.44,0.85,0.401
,Success rate straight (%),72.0,81.44,-2.98,0.004
,,,,,
Symmetry,,,,,
,Success rate symmetry (%),82.25,87.78,-2.28,0.026
,,,,,
Seven Diff,,,,,
,Success rate all (%),33.27,41.18,-3.97,0.0002
,Success rate shocking (%),22.25,26.69,-3.5,0.001
,Success rate non-shocking (%),26.42,28.46,-1.39,0.171
,Success rate calligraphy (%),49.33,63.6,-3.5,0.001
,Success rate chess (%),35.08,46.41,-3.32,0.002
,,,,,
Where Is Tockie,,,,,
,Success rate (%),73.47,75.71,-1.67,0.101
,Average count image,1.88,1.58,3.18,0.002
